WORD,X,Y
echoing,1,98
deafening,10,98
audible,19,98
mute,28,98
beeping,37,98
sonorous,46,98
noisy,55,98
silent,64,98
shrill,73,98
bleeping,82,98
hushed,91,98
loud,1,95
cooing,10,95
squealing,19,95
quiet,28,95
soundless,37,95
mumbling,46,95
groaning,55,95
whistling,64,95
squeaking,73,95
blaring,82,95
melodious,91,95
hissing,1,92
murmuring,10,92
whining,19,92
whispering,28,92
screaming,37,92
screeching,46,92
resounding,55,92
muttering,64,92
muffled,73,92
purring,82,92
shrieking,91,92
meowing,1,89
howling,10,89
wailing,19,89
creaking,28,89
booming,37,89
moaning,46,89
husky,55,89
growling,64,89
whimpering,73,89
buzzing,82,89
tinkling,91,89
rhythmic,1,86
snarling,10,86
thunderous,19,86
raucous,28,86
jingling,37,86
snorting,46,86
warbling,55,86
giggling,64,86
barking,73,86
hoarse,82,86
banging,91,86
laughing,1,83
thudding,10,83
rumbling,19,83
crying,28,83
reverberating,37,83
gurgling,46,83
rustling,55,83
thumping,64,83
raspy,73,83
popping,82,83
crackling,91,83
crunching,1,80
harsh,10,80
